PRICEEACH,,SALES,ORDERDATE,STATUS,,MONTH_ID,YEAR_ID
100,,5019.9,11/4/2003 0:00,Shipped,,11,2003
100,,5411.07,11/12/2003 0:00,Shipped,,11,2003
100,,3840.9,11/20/2003 0:00,Shipped,,11,2003
100,,3930.4,12/2/2003 0:00,Shipped,,12,2003
100,,7498.9,1/15/2004 0:00,Shipped,,1,2004
100,,4517.91,2/22/2004 0:00,Shipped,,2,2004
100,,5774.72,4/9/2004 0:00,Shipped,,4,2004
100,,3922.56,6/1/2004 0:00,Cancelled,,6,2004
100,,9160.36,7/6/2004 0:00,Shipped,,7,2004
100,,9631,8/2/2004 0:00,Shipped,,8,2004
100,,3432.24,8/30/2004 0:00,Shipped,,8,2004
100,,5521.89,10/4/2003 0:00,Shipped,,10,2003
100,,6934.62,10/16/2004 0:00,Shipped,,10,2004
100,,6876.11,11/3/2004 0:00,Shipped,,11,2004
71.47,,2930.27,11/15/2004 0:00,Shipped,,11,2004
79.65,,3584.25,11/24/2004 0:00,Shipped,,11,2004
85.39,,2817.87,1/6/2005 0:00,Shipped,,1,2005
76,,3420,2/3/2005 0:00,Shipped,,2,2005
99.04,,2575.04,3/3/2005 0:00,Shipped,,3,2005
100,,1961.28,5/17/2005 0:00,Shipped,,5,2005
100,,8690.36,2/11/2003 0:00,Shipped,,2,2003
100,,6034.38,4/16/2003 0:00,Shipped,,4,2003
100,,11279.2,6/3/2003 0:00,Shipped,,6,2003
100,,8023.29,8/8/2003 0:00,Shipped,,8,2003
100,,4904,9/28/2003 0:00,Shipped,,9,2003
100,,8594.52,10/22/2003 0:00,Shipped,,10,2003
100,,7474.5,11/6/2003 0:00,Shipped,,11,2003
100,,3807.12,11/26/2003 0:00,Shipped,,11,2003
100,,3142.36,1/2/2004 0:00,Shipped,,1,2004
100,,4713.6,2/12/2004 0:00,Shipped,,2,2004
100,,7016.31,3/15/2004 0:00,Shipped,,3,2004
100,,4381.25,5/5/2004 0:00,Shipped,,5,2004
100,,4283.01,7/20/2004 0:00,Shipped,,7,2004
100,,4364.82,8/20/2004 0:00,Shipped,,8,2004
100,,4242.24,9/9/2004 0:00,Shipped,,9,2004
100,,4982.7,10/14/2004 0:00,Shipped,,10,2004
100,,6393.54,10/22/2004 0:00,Shipped,,10,2004
54.33,,1466.91,11/5/2004 0:00,Shipped,,11,2004
100,,4059.33,11/20/2004 0:00,Shipped,,11,2004
100,,4801.52,11/1/2004 0:00,Shipped,,11,2004
55.34,,2711.66,12/10/2004 0:00,Shipped,,12,2004
100,,5862,1/26/2005 0:00,Shipped,,1,2005
100,,4071.85,2/17/2005 0:00,Shipped,,2,2005
100,,8236.75,5/5/2005 0:00,Shipped,,5,2005
100,,6130.35,3/3/2003 0:00,Shipped,,3,2003
99.82,,3693.34,5/8/2003 0:00,Shipped,,5,2003
100,,6031.68,7/2/2003 0:00,Shipped,,7,2003
100,,3494.94,9/5/2003 0:00,Shipped,,9,2003
100,,5294.14,10/11/2003 0:00,Shipped,,10,2003
100,,5464.69,11/4/2003 0:00,Shipped,,11,2003
100,,2860.76,11/12/2003 0:00,Shipped,,11,2003
100,,4891.68,2/10/2004 0:00,Shipped,,2,2004
100,,4521.96,3/11/2004 0:00,Shipped,,3,2004
100,,5069.66,5/5/2004 0:00,Shipped,,5,2004
100,,6541.2,6/15/2004 0:00,Shipped,,6,2004
97.17,,3012.27,7/20/2004 0:00,Shipped,,7,2004
100,,5247.18,8/19/2004 0:00,Shipped,,8,2004
100,,2214.87,9/8/2004 0:00,Shipped,,9,2004
100,,4773.18,10/13/2004 0:00,Shipped,,10,2004
100,,6185.7,10/22/2004 0:00,Shipped,,10,2004
58.38,,1517.88,11/5/2004 0:00,Shipped,,11,2004
100,,6372.6,11/20/2004 0:00,Shipped,,11,2004
100,,5232.96,12/1/2004 0:00,Shipped,,12,2004
64.16,,2694.72,12/10/2004 0:00,Shipped,,12,2004
35.71,,1749.79,1/23/2005 0:00,Shipped,,1,2005
66.58,,2130.56,2/17/2005 0:00,Shipped,,2,2005
100,,5951.34,5/3/2005 0:00,Shipped,,5,2005
100,,4692.6,5/31/2005 0:00,In Process,,5,2005
100,,3731.04,3/3/2003 0:00,Shipped,,3,2003
100,,2142,5/8/2003 0:00,Shipped,,5,2003
97.89,,2838.81,7/2/2003 0:00,Shipped,,7,2003
97.89,,3230.37,9/5/2003 0:00,Shipped,,9,2003
100,,5182,10/11/2003 0:00,Shipped,,10,2003
100,,4391.1,11/4/2003 0:00,Shipped,,11,2003
100,,4477.32,11/12/2003 0:00,Shipped,,11,2003
100,,3544.56,11/20/2003 0:00,Shipped,,11,2003
100,,5195.85,12/2/2003 0:00,Shipped,,12,2003
